# SCOWL/ESDB 2020.12.07 American size 60
# Generated from english-words and american-words levels 10,20,35,40,50,55,60.
50	admen
20	administer
20	administered
20	administering
20	administers
50	administrate
50	administrated
50	administrates
50	administrating
10	administration
35	administrations
20	administrative
50	administratively
35	administrator
35	administrators
20	admirable
35	admirably
35	admiral
35	admirals
50	admiralty
20	admiration
20	admire
35	admired
35	admirer
35	admirers
35	admires
35	admiring
40	admiringly
50	admissibility
35	admissible
60	admissibly
20	admission
35	admissions
10	admit
10	admits
35	admittance
10	admitted
10	admittedly
10	admitting
60	admix
60	admixed
60	admixes
60	admixing
50	admixture
50	admixtures
35	admonish
35	admonished
35	admonishes
35	admonishing
50	admonishment
50	admonishments
35	admonition
35	admonitions
50	admonitory
35	ado
35	adobe
35	adobes
35	adolescence
35	adolescences
35	adolescent
35	adolescents
10	adopt
60	adoptable
10	adopted
60	adopter
60	adopters
10	adopting
20	adoption
35	adoptions
40	adoptive
10	adopts
35	adorable
60	adorableness
50	adorably
35	adoration
35	adore
35	adored
60	adorer
60	adorers
35	adores
35	adoring
50	adoringly
35	adorn
35	adorned
35	adorning
35	adornment
35	adornments
35	adorns
50	adrenal
40	adrenaline
50	adrenals
60	adrenergic
35	adrift
35	adroit
35	adroitly
50	adroitness
35	ads
60	adsorb
60	adsorbed
60	adsorbent
60	adsorbents
60	adsorbing
60	adsorbs
60	adsorption
60	adsorptions
50	adulate
50	adulated
50	adulates
50	adulating
35	adulation
60	adulator
60	adulators
55	adulatory
20	adult
50	adulterant
50	adulterants
35	adulterate
35	adulterated
35	adulterates
35	adulterating
35	adulteration
50	adulterer
50	adulterers
50	adulteress
50	adulteresses
35	adulteries
50	adulterous
35	adultery
35	adulthood
20	adults
50	adumbrate
50	adumbrated
50	adumbrates
50	adumbrating
50	adumbration
10	advance
10	advanced
35	advancement
35	advancements
10	advances
10	advancing
10	advantage
35	advantaged
20	advantageous
50	advantageously
10	advantages
35	advantaging
20	advent
50	adventitious
55	adventitiously
40	advents
20	adventure
35	adventured
35	adventurer
35	adventurers
20	adventures
50	adventuresome
50	adventuress
50	adventuresses
35	adventuring
55	adventurism
55	adventurist
55	adventurists
20	adventurous
50	adventurously
60	adventurousness
35	adverb
35	adverbial
60	adverbially
35	adverbials
35	adverbs
50	adversarial
35	adversaries
35	adversary
20	adverse
20	adversely
60	adverseness
35	adverser
35	adversest
35	adversities
35	adversity
20	advert
50	adverted
50	adverting
10	advertise
10	advertised
20	advertisement
20	advertisements
35	advertiser
35	advertisers
10	advertises
10	advertising
55	advertorial
55	advertorials
20	adverts
10	advice
50	advisability
20	advisable
60	advisably
10	advise
10	advised
50	advisedly
50	advisement
20	adviser
20	advisers
10	advises
10	advising
20	advisor
35	advisories
20	advisors
20	advisory
40	advocacy
20	advocate
20	advocated
20	advocates
20	advocating
50	adware
50	adze
50	adzes
50	aegis
50	aerate
50	aerated
50	aerates
50	aerating
50	aeration
50	aerator
50	aerators
20	aerial
50	aerialist
50	aerialists
60	aerially
35	aerials
50	aerie
50	aeries
55	aerobatic
50	aerobatics
40	aerobic
60	aerobically
40	aerobics
55	aerodrome
55	aerodromes
35	aerodynamic
50	aerodynamically
35	aerodynamics
55	aerogram
55	aerograms
55	aeronautic
50	aeronautical
50	aeronautics
35	aerosol
35	aerosols
35	aerospace
50	aery
50	aesthete
50	aesthetes
20	aesthetic
20	aesthetically
60	aestheticism
40	aesthetics
35	afar
50	affability
35	affable
35	affably
10	affair
10	affairs
10	affect
35	affectation
35	affectations
10	affected
55	affectedly
10	affecting
60	affectingly
20	affection
35	affectionate
35	affectionately
35	affections
10	affects
60	afferent
60	affiance
60	affianced
60	affiances
60	affiancing
35	affidavit
35	affidavits
35	affiliate
35	affiliated
35	affiliates
35	affiliating
35	affiliation
35	affiliations
60	affine
35	affinities
35	affinity
35	affirm
35	affirmation
35	affirmations
35	affirmative
40	affirmatively
35	affirmatives
35	affirmed
35	affirming
35	affirms
35	affix
35	affixed
35	affixes
35	affixing
60	afflatus
35	afflict
35	afflicted
35	afflicting
35	affliction
35	afflictions
35	afflicts
35	affluence
35	affluent
50	affluently
10	afford
55	affordability
35	affordable
60	affordably
35	afforded
35	affording
35	affords
50	afforest
50	afforestation
50	afforested
50	afforesting
50	afforests
50	affray
50	affrays
35	affront
35	affronted
35	affronting
35	affronts
50	afghan
50	afghans
50	aficionado
50	aficionados
35	afield
50	afire
35	aflame
35	afloat
50	aflutter
35	afoot
20	aforementioned
35	aforesaid
50	aforethought
50	afoul
10	afraid
35	afresh
50	aft
10	after
50	afterbirth
50	afterbirths
50	afterburner
50	afterburners
50	aftercare
35	aftereffect
35	aftereffects
50	afterglow
50	afterglows
60	afterimage
60	afterimages
35	afterlife
35	afterlives
60	aftermarket
60	aftermarkets
35	aftermath
35	aftermaths
10	afternoon
20	afternoons
55	afters
40	aftershave
40	aftershaves
40	aftershock
40	aftershocks
50	aftertaste
50	aftertastes
35	afterthought
35	afterthoughts
10	afterward
10	afterwards
50	afterword
50	afterwords
10	again
10	against
50	agape
50	agar
50	agate
50	agates
50	agave
10	age
20	aged
50	ageism
55	ageist
55	ageists
50	ageless
60	agelessly
60	agelessness
35	agencies
10	agency
20	agenda
35	agendas
60	agenesis
20	agent
20	agents
60	ageratum
10	ages
50	agglomerate
50	agglomerated
50	agglomerates
50	agglomerating
50	agglomeration
50	agglomerations
50	agglutinate
50	agglutinated
50	agglutinates
50	agglutinating
50	agglutination
50	agglutinations
50	aggrandize
50	aggrandized
50	aggrandizement
50	aggrandizes
50	aggrandizing
35	aggravate
35	aggravated
35	aggravates
35	aggravating
60	aggravatingly
35	aggravation
35	aggravations
35	aggregate
35	aggregated
35	aggregates
35	aggregating
50	aggregation
50	aggregations
60	aggregator
60	aggregators
35	aggression
20	aggressive
35	aggressively
35	aggressiveness
35	aggressor
35	aggressors
40	aggrieve
40	aggrieved
40	aggrieves
40	aggrieving
55	aggro
35	aghast
35	agile
50	agilely
35	agility
20	aging
40	agings
35	agitate
35	agitated
35	agitates
35	agitating
35	agitation
35	agitations
35	agitator
35	agitators
55	agitprop
50	agleam
50	aglitter
35	aglow
35	agnostic
35	agnosticism
35	agnostics
10	ago
50	agog
35	agonies
60	agonist
60	agonists
35	agonize
35	agonized
35	agonizes
35	agonizing
40	agonizingly
20	agony
55	agoraphobia
55	agoraphobic
55	agoraphobics
50	agrarian
